Name,Nationality,Floor,,High Bar,,PBars,,Pommel Horse,,Rings,,Vault,,Total Score,Overall Rank
,,Score,Rank,Score,Rank,Score,Rank,Score,Rank,Score,Rank,Score,Rank,,
Ahmet Onder,TUR,14.133,9,13.466,9,14.933,3,12.933,16,13.833,9,14.533,9,83.831,9
Artur Davtyan,ARM,13.333,18,12.733,19,13.766,18,13.4,13,14.2,4,14.9,3,82.332,13
Caio Souza,BRA,13.9,13,12.133,22,14.266,14,11.566,23,14.166,5,14.5,10,80.531,15
David Belyavskiy,RUS,14.066,11,13.2,15,15.266,1,14.9,1,14.1,7,14.783,8,86.315,4
Eddy Yusof,SUI,13.566,17,13.4,10,14.366,13,11.633,22,13.766,11,13.433,23,80.164,19
Ferhat Arican,TUR,11.733,24,12.933,16,14.683,6,13.525,11,12.9,21,14.266,13,80.04,20
Garam Bae,KOR,13,21,13.4,10,13.6,20,13.533,10,12.866,22,14.133,14,80.532,14
Jo Calvo Moreno,COL,13.866,14,13.566,8,14.6,8,13.8,6,13.333,18,13.866,19,83.031,11
Joel Plata Rodriguez,SP,13.666,16,11.866,23,13.4,21,10.633,24,13.5,15,13.633,22,76.698,24
Kenzo Shirai,JPN,15.733,1,13.966,6,14.633,7,13.433,12,13.666,12,15,1,86.431,3
Kevin Cerda,MEX,13.333,18,12.833,18,12.366,24,12.266,21,12.4,23,13.733,21,76.931,23
Lin Chaopan,CHN,14.516,3,14.3,5,14.8,5,14.266,3,13.666,12,14.9,3,86.448,2
Manrique Larduet,CUB,13.933,12,14.333,4,14.933,3,13.733,7,14.133,6,14.966,2,86.031,5
Marios Georgiou,CYP,12.5,23,13.833,7,14.1,15,12.3,20,13.5,15,14,17,80.233,16
Nikita Nagornyy,RUS,14.5,4,11.066,24,14.541,10,13.866,5,14.466,2,14.8,7,83.239,10
Nile Wilson,GBR,14.333,6,14.433,2,14.5,12,13.666,8,14.3,3,14.1,15,85.332,6
Oleg Verniaiev,UKR,13.766,15,12.533,21,14.966,2,13.333,14,14.566,1,14.833,6,83.997,8
Pablo Braegger,SUI,14.233,8,14.5,1,12.7,23,13.266,15,13.6,14,14.433,12,82.732,12
Philipp Herder,GER,14.133,9,12.6,20,14.1,15,12.833,19,13.5,15,13,24,80.166,18
Robert Tvorogal,LTU,12.9,22,13.333,12,14.1,15,12.866,17,13.133,19,13.9,18,80.232,17
Tomas Kuzmickas,LTU,14.266,7,13.333,12,13.633,19,12.866,17,11.7,24,13.866,19,79.664,22
Xiao Ruoteng,CHN,14.433,5,14.4,3,14.6,8,14.8,2,13.8,10,14.9,3,86.933,1
Yul Moldauer,USA,14.566,2,13.333,12,14.533,11,14,4,14.066,8,14.5,10,84.998,7
Zachary Clay,CAN,13.133,20,12.9,17,13.1,22,13.566,9,13.1,20,14.1,15,79.899,21
